device_id,customer_id,device_type,os,first_seen_date,is_shared_device
DEV-000038,CUST-000024,Mobile,Windows,2024-06-20,False
DEV-000039,CUST-000025,Tablet,iOS,2023-11-29,False
DEV-000040,CUST-000025,Mobile,Android,2024-01-20,False
DEV-000041,CUST-000026,Desktop,macOS,2023-08-15,False
DEV-000042,CUST-000026,Mobile,macOS,2019-07-03,False
DEV-000043,CUST-000027,Mobile,iOS,2024-02-11,False
DEV-000044,CUST-000028,Mobile,macOS,2022-05-30,False
DEV-000045,CUST-000028,Mobile,iOS,2024-03-23,False
DEV-000046,CUST-000029,Mobile,Windows,2023-02-08,False
DEV-000047,CUST-000030,Mobile,Android,2023-12-05,True
DEV-000048,CUST-000031,Desktop,macOS,2024-11-24,False
DEV-000049,CUST-000031,Mobile,Windows,2024-12-06,False
DEV-000050,CUST-000032,Mobile,macOS,2023-07-23,False
DEV-000051,CUST-000033,Mobile,Android,2024-11-02,False
DEV-000052,CUST-000034,Mobile,iOS,2024-05-30,False
DEV-000053,CUST-000035,Desktop,macOS,2024-01-17,False
DEV-000054,CUST-000035,Desktop,Windows,2023-07-26,False
DEV-000055,CUST-000036,Mobile,macOS,2024-08-24,False
DEV-000056,CUST-000036,Desktop,Windows,2023-07-12,False
DEV-000057,CUST-000037,Mobile,iOS,2022-09-10,False
DEV-000058,CUST-000037,Tablet,Windows,2024-04-09,False
DEV-000059,CUST-000038,Mobile,macOS,2024-08-21,False
DEV-000060,CUST-000039,Desktop,macOS,2024-11-08,False
DEV-000061,CUST-000040,Mobile,iOS,2024-12-11,False
DEV-000062,CUST-000040,Tablet,Android,2021-12-31,False
DEV-000063,CUST-000041,Mobile,Android,2024-07-23,False
DEV-000064,CUST-000041,Mobile,Android,2024-07-17,False
DEV-000065,CUST-000042,Mobile,iOS,2024-05-26,False
DEV-000066,CUST-000042,Mobile,iOS,2024-02-24,False
DEV-000067,CUST-000043,Mobile,iOS,2021-12-12,False
DEV-000068,CUST-000044,Mobile,Windows,2023-01-01,False
DEV-000069,CUST-000045,Desktop,iOS,2023-09-30,False
DEV-000070,CUST-000046,Mobile,Windows,2024-11-28,False
DEV-000071,CUST-000046,Mobile,Android,2024-12-17,False
DEV-000072,CUST-000047,Desktop,Windows,2023-09-22,False
DEV-000073,CUST-000047,Desktop,macOS,2024-02-12,False
DEV-000074,CUST-000048,Mobile,Windows,2022-10-15,False
DEV-000075,CUST-000048,Desktop,macOS,2024-03-29,False
DEV-000076,CUST-000049,Mobile,Windows,2024-01-08,False
DEV-000077,CUST-000050,Mobile,Windows,2024-01-21,False
DEV-000078,CUST-000051,Desktop,Windows,2020-10-16,True
DEV-000079,CUST-000051,Desktop,Windows,2021-05-26,False
DEV-000080,CUST-000052,Mobile,iOS,2024-11-18,False
DEV-000081,CUST-000053,Desktop,macOS,2023-11-10,False
DEV-000082,CUST-000054,Desktop,Windows,2023-01-28,False
DEV-000083,CUST-000055,Mobile,Windows,2024-09-17,False
DEV-000084,CUST-000056,Mobile,macOS,2019-09-24,False
DEV-000085,CUST-000056,Mobile,Android,2021-02-23,False
DEV-000086,CUST-000057,Mobile,macOS,2024-01-26,False
DEV-000087,CUST-000057,Desktop,Android,2023-02-26,False
DEV-000088,CUST-000058,Mobile,Windows,2022-10-04,False
DEV-000089,CUST-000059,Desktop,iOS,2024-07-21,False
DEV-000090,CUST-000060,Tablet,iOS,2022-07-11,False
DEV-000091,CUST-000060,Mobile,Windows,2024-10-26,False
DEV-000092,CUST-000061,Mobile,Android,2020-08-02,False
DEV-000093,CUST-000062,Mobile,Windows,2021-07-29,False
DEV-000094,CUST-000062,Tablet,Windows,2021-06-28,False
DEV-000095,CUST-000063,Mobile,macOS,2024-12-12,False
DEV-000096,CUST-000063,Mobile,macOS,2024-11-25,False
DEV-000097,CUST-000064,Mobile,Windows,2024-06-20,False
DEV-000098,CUST-000065,Desktop,Windows,2020-04-30,False
DEV-000099,CUST-000066,Desktop,Android,2024-02-18,False
DEV-000100,CUST-000066,Mobile,macOS,2024-01-06,False
DEV-000101,CUST-000067,Mobile,Windows,2023-08-19,False
DEV-000102,CUST-000067,Mobile,iOS,2020-06-06,False
DEV-000103,CUST-000068,Mobile,Windows,2024-05-30,False
DEV-000104,CUST-000069,Mobile,Android,2024-10-11,False
DEV-000105,CUST-000069,Mobile,iOS,2021-01-15,False
DEV-000106,CUST-000070,Mobile,Android,2024-06-11,False
DEV-000107,CUST-000070,Desktop,Android,2024-11-28,False
DEV-000108,CUST-000071,Mobile,Android,2021-10-29,False
DEV-000109,CUST-000071,Desktop,iOS,2021-07-09,False
DEV-000110,CUST-000072,Mobile,Windows,2024-03-11,False
DEV-000111,CUST-000073,Mobile,Windows,2024-11-30,False
DEV-000112,CUST-000073,Desktop,macOS,2024-11-23,False
DEV-000113,CUST-000074,Desktop,Windows,2021-03-12,False
DEV-000114,CUST-000075,Desktop,iOS,2021-05-22,False
DEV-000115,CUST-000076,Mobile,macOS,2022-10-03,False
DEV-000116,CUST-000076,Desktop,macOS,2024-03-29,False
DEV-000117,CUST-000077,Tablet,macOS,2024-12-13,False
DEV-000118,CUST-000077,Mobile,macOS,2024-11-12,False
DEV-000119,CUST-000078,Mobile,macOS,2019-03-28,False
DEV-000120,CUST-000078,Mobile,Windows,2021-01-04,False
DEV-000121,CUST-000079,Mobile,Windows,2022-07-27,False
DEV-000122,CUST-000080,Mobile,Android,2023-09-20,False
DEV-000123,CUST-000080,Mobile,Android,2023-03-05,False
DEV-000124,CUST-000081,Mobile,macOS,2024-04-15,False
DEV-000125,CUST-000082,Mobile,iOS,2024-01-09,False
DEV-000126,CUST-000083,Mobile,macOS,2024-05-25,False
DEV-000127,CUST-000084,Desktop,Windows,2021-06-14,False
DEV-000128,CUST-000085,Mobile,iOS,2024-09-11,False
DEV-000129,CUST-000086,Desktop,Windows,2022-10-26,False
DEV-000130,CUST-000087,Mobile,Android,2020-05-26,False
DEV-000131,CUST-000087,Desktop,Android,2020-12-21,False
DEV-000132,CUST-000088,Tablet,Android,2022-06-19,False
DEV-000133,CUST-000089,Mobile,Windows,2024-11-16,False
DEV-000134,CUST-000089,Desktop,Windows,2023-10-17,False
DEV-000135,CUST-000090,Mobile,iOS,2024-07-26,False
DEV-000136,CUST-000090,Mobile,macOS,2024-10-27,False
DEV-000137,CUST-000091,Mobile,Windows,2020-01-17,False
DEV-000138,CUST-000091,Mobile,Windows,2022-02-20,False
DEV-000139,CUST-000092,Mobile,Android,2023-05-07,False
DEV-000140,CUST-000093,Desktop,iOS,2023-02-26,False
DEV-000141,CUST-000094,Mobile,macOS,2023-04-14,True
DEV-000142,CUST-000095,Mobile,iOS,2022-10-06,False
DEV-000143,CUST-000095,Mobile,iOS,2022-11-09,False
DEV-000144,CUST-000096,Mobile,Android,2020-11-08,False
DEV-000145,CUST-000096,Mobile,iOS,2022-11-12,False
DEV-000146,CUST-000097,Desktop,macOS,2023-05-05,False
DEV-000147,CUST-000097,Mobile,macOS,2022-12-25,False
DEV-000148,CUST-000098,Mobile,iOS,2023-10-18,False
DEV-000149,CUST-000099,Desktop,macOS,2024-05-20,False
DEV-000150,CUST-000099,Mobile,Android,2023-12-26,False
DEV-000151,CUST-000100,Desktop,Android,2023-11-11,False
DEV-000152,CUST-000100,Desktop,Windows,2022-11-04,False
DEV-000153,CUST-000101,Mobile,iOS,2024-09-20,False
DEV-000154,CUST-000101,Mobile,macOS,2020-08-28,True
DEV-000155,CUST-000102,Mobile,macOS,2020-12-10,False
DEV-000156,CUST-000103,Mobile,Windows,2024-06-22,False
DEV-000157,CUST-000104,Mobile,iOS,2019-10-10,False
DEV-000158,CUST-000105,Mobile,macOS,2024-10-22,False
DEV-000159,CUST-000105,Mobile,iOS,2023-02-09,False
DEV-000160,CUST-000106,Mobile,iOS,2024-12-20,False
DEV-000161,CUST-000106,Mobile,Android,2021-07-09,False
DEV-000162,CUST-000107,Mobile,Android,2024-02-25,False
DEV-000163,CUST-000108,Tablet,Android,2021-12-03,True
DEV-000164,CUST-000109,Mobile,Android,2022-09-06,False
DEV-000165,CUST-000110,Desktop,iOS,2020-09-15,False
DEV-000166,CUST-000111,Mobile,Windows,2024-11-12,False
DEV-000167,CUST-000112,Desktop,iOS,2020-02-15,False
DEV-000168,CUST-000113,Desktop,Android,2022-04-09,False
DEV-000169,CUST-000113,Tablet,iOS,2024-06-26,False
DEV-000170,CUST-000114,Mobile,macOS,2021-04-27,False
DEV-000171,CUST-000115,Mobile,Windows,2023-12-19,False
DEV-000172,CUST-000116,Mobile,iOS,2023-02-08,False
DEV-000173,CUST-000117,Mobile,Android,2024-03-29,False
DEV-000174,CUST-000117,Desktop,macOS,2023-03-02,False
DEV-000175,CUST-000118,Desktop,iOS,2024-07-08,False
DEV-000176,CUST-000118,Desktop,Android,2024-12-25,False
DEV-000177,CUST-000119,Mobile,Android,2024-11-18,False
DEV-000178,CUST-000120,Mobile,iOS,2023-01-27,False
DEV-000179,CUST-000120,Mobile,Android,2024-08-15,False
DEV-000180,CUST-000121,Desktop,Windows,2024-05-22,False
DEV-000181,CUST-000121,Desktop,Windows,2024-12-18,False
DEV-000182,CUST-000122,Mobile,Windows,2024-01-08,False
DEV-000183,CUST-000122,Desktop,macOS,2020-10-04,False
DEV-000184,CUST-000123,Mobile,Android,2020-06-08,False
DEV-000185,CUST-000124,Mobile,Windows,2024-06-06,False
DEV-000186,CUST-000124,Desktop,iOS,2024-11-07,False
DEV-000187,CUST-000125,Mobile,iOS,2023-12-12,False
DEV-000188,CUST-000126,Desktop,Android,2024-03-19,False
DEV-000189,CUST-000127,Desktop,Windows,2024-10-23,False
DEV-000190,CUST-000128,Desktop,Android,2023-06-11,False
DEV-000191,CUST-000129,Desktop,Android,2024-11-28,False
DEV-000192,CUST-000129,Mobile,macOS,2024-11-26,False
DEV-000193,CUST-000130,Desktop,macOS,2022-05-11,False
DEV-000194,CUST-000131,Desktop,iOS,2024-01-22,True
DEV-000195,CUST-000132,Mobile,iOS,2020-01-11,False
DEV-000196,CUST-000133,Desktop,Windows,2024-07-06,False
DEV-000197,CUST-000134,Mobile,iOS,2019-10-07,False
DEV-000198,CUST-000134,Mobile,Windows,2019-06-26,False
DEV-000199,CUST-000135,Desktop,Android,2024-09-30,True
DEV-000200,CUST-000136,Mobile,Android,2022-07-04,False
DEV-000201,CUST-000136,Mobile,iOS,2024-12-12,False
DEV-000202,CUST-000137,Mobile,Windows,2023-07-09,False
DEV-000203,CUST-000137,Desktop,iOS,2022-08-13,False
DEV-000204,CUST-000138,Desktop,Android,2023-04-15,False
DEV-000205,CUST-000139,Mobile,macOS,2023-08-20,False
DEV-000206,CUST-000140,Tablet,iOS,2024-10-23,False
DEV-000207,CUST-000140,Mobile,Android,2024-09-21,False
DEV-000208,CUST-000141,Mobile,Windows,2024-12-11,False
DEV-000209,CUST-000142,Desktop,macOS,2024-01-20,False
DEV-000210,CUST-000142,Mobile,Windows,2021-09-25,False
DEV-000211,CUST-000143,Mobile,Android,2022-04-05,False
DEV-000212,CUST-000144,Desktop,macOS,2024-11-11,True
DEV-000213,CUST-000144,Mobile,Windows,2024-10-03,False
DEV-000214,CUST-000145,Mobile,Windows,2023-12-04,False
DEV-000215,CUST-000146,Mobile,Android,2024-07-24,False
DEV-000216,CUST-000147,Desktop,Windows,2022-06-01,False
DEV-000217,CUST-000147,Desktop,Android,2024-09-06,False
DEV-000218,CUST-000148,Mobile,Windows,2021-12-10,False
DEV-000219,CUST-000148,Mobile,Windows,2022-01-26,False
DEV-000220,CUST-000149,Mobile,Android,2024-07-25,False
DEV-000221,CUST-000149,Desktop,macOS,2023-10-07,False
DEV-000222,CUST-000150,Mobile,iOS,2019-10-11,False
DEV-000223,CUST-000150,Mobile,macOS,2023-09-21,False
DEV-000224,CUST-000151,Desktop,Android,2024-12-20,False
DEV-000225,CUST-000152,Mobile,macOS,2021-07-20,False
DEV-000226,CUST-000152,Desktop,iOS,2023-12-29,False
DEV-000227,CUST-000153,Mobile,iOS,2023-09-30,False
DEV-000228,CUST-000153,Mobile,Android,2024-09-17,False
DEV-000229,CUST-000154,Tablet,Windows,2023-09-26,False
DEV-000230,CUST-000155,Mobile,macOS,2020-07-27,False
DEV-000231,CUST-000156,Mobile,Android,2023-09-05,False
DEV-000232,CUST-000157,Mobile,macOS,2023-05-04,False
DEV-000233,CUST-000157,Mobile,Android,2024-09-26,False
DEV-000234,CUST-000158,Mobile,iOS,2019-04-01,False
DEV-000235,CUST-000158,Mobile,macOS,2024-11-14,False
DEV-000236,CUST-000159,Mobile,Android,2024-06-13,False
DEV-000237,CUST-000160,Mobile,Windows,2024-08-18,False
DEV-000238,CUST-000161,Desktop,iOS,2024-11-14,False
DEV-000239,CUST-000161,Mobile,Windows,2021-06-26,False
DEV-000240,CUST-000162,Mobile,Android,2024-06-17,False
DEV-000241,CUST-000163,Mobile,macOS,2023-09-26,False
DEV-000242,CUST-000164,Mobile,Windows,2022-07-19,False
DEV-000243,CUST-000165,Mobile,Windows,2022-03-16,False
DEV-000244,CUST-000165,Mobile,Android,2021-10-09,False
DEV-000245,CUST-000166,Mobile,macOS,2024-02-16,False
DEV-000246,CUST-000167,Mobile,iOS,2022-03-25,False
DEV-000247,CUST-000167,Desktop,Windows,2022-05-28,False
DEV-000248,CUST-000168,Desktop,iOS,2021-05-08,False
DEV-000249,CUST-000169,Mobile,iOS,2022-09-09,False
DEV-000250,CUST-000169,Desktop,iOS,2024-08-17,False
DEV-000251,CUST-000170,Mobile,iOS,2024-08-12,False
DEV-000252,CUST-000171,Mobile,Windows,2022-02-26,False
DEV-000253,CUST-000172,Desktop,macOS,2024-11-04,False
DEV-000254,CUST-000173,Mobile,Windows,2024-11-30,False
DEV-000255,CUST-000173,Mobile,Android,2024-11-23,False
DEV-000256,CUST-000174,Mobile,Android,2023-12-19,False
DEV-000257,CUST-000174,Mobile,macOS,2020-09-28,False
DEV-000258,CUST-000175,Desktop,macOS,2024-07-31,False
DEV-000259,CUST-000176,Tablet,Android,2020-03-22,False
DEV-000260,CUST-000176,Mobile,Windows,2021-12-03,False
DEV-000261,CUST-000177,Mobile,iOS,2024-12-06,False
DEV-000262,CUST-000177,Desktop,macOS,2024-12-01,False
DEV-000263,CUST-000178,Desktop,macOS,2024-09-09,False
DEV-000264,CUST-000178,Mobile,macOS,2022-04-20,False
DEV-000265,CUST-000179,Tablet,iOS,2023-07-31,False
DEV-000266,CUST-000180,Mobile,macOS,2020-09-12,False
DEV-000267,CUST-000181,Desktop,macOS,2024-08-18,False
DEV-000268,CUST-000181,Mobile,iOS,2024-11-14,False
DEV-000269,CUST-000182,Mobile,iOS,2024-03-06,False
DEV-000270,CUST-000182,Mobile,Windows,2024-05-16,False
DEV-000271,CUST-000183,Mobile,macOS,2024-09-21,False
DEV-000272,CUST-000184,Mobile,Android,2024-01-23,False
DEV-000273,CUST-000184,Mobile,macOS,2023-10-05,True
DEV-000274,CUST-000185,Mobile,Windows,2024-02-25,False
DEV-000275,CUST-000186,Mobile,Android,2022-06-06,False
DEV-000276,CUST-000187,Mobile,iOS,2022-08-12,False
DEV-000277,CUST-000187,Desktop,Windows,2022-12-15,False
DEV-000278,CUST-000188,Mobile,Windows,2024-03-18,False
DEV-000279,CUST-000188,Desktop,iOS,2022-05-09,False
DEV-000280,CUST-000189,Mobile,iOS,2024-12-17,False
DEV-000281,CUST-000190,Desktop,Windows,2023-12-06,False
DEV-000282,CUST-000191,Mobile,Windows,2022-07-13,False
DEV-000283,CUST-000191,Mobile,macOS,2024-08-22,False
DEV-000284,CUST-000192,Desktop,iOS,2020-09-02,False
DEV-000285,CUST-000193,Mobile,Android,2021-12-15,False
DEV-000286,CUST-000193,Desktop,iOS,2023-11-16,False
DEV-000287,CUST-000194,Mobile,Windows,2022-07-05,False
DEV-000288,CUST-000194,Mobile,Android,2024-10-28,False
DEV-000289,CUST-000195,Mobile,iOS,2024-07-12,False
DEV-000290,CUST-000196,Mobile,macOS,2024-09-08,False
DEV-000291,CUST-000196,Desktop,macOS,2024-07-02,False
DEV-000292,CUST-000197,Mobile,macOS,2024-11-20,False
DEV-000293,CUST-000197,Mobile,Windows,2024-12-05,False
DEV-000294,CUST-000198,Desktop,iOS,2023-03-04,False
DEV-000295,CUST-000199,Mobile,Android,2022-03-04,False
DEV-000296,CUST-000199,Tablet,macOS,2024-12-23,False
DEV-000297,CUST-000200,Mobile,Windows,2022-10-05,False
DEV-000298,CUST-000200,Mobile,iOS,2024-04-09,True
DEV-000299,CUST-000201,Mobile,Windows,2022-04-30,False
DEV-000300,CUST-000202,Desktop,iOS,2021-11-09,True
DEV-000301,CUST-000202,Mobile,iOS,2023-06-07,False
DEV-000302,CUST-000203,Desktop,macOS,2022-02-14,False
DEV-000303,CUST-000203,Mobile,iOS,2021-09-01,True
DEV-000304,CUST-000204,Mobile,iOS,2021-06-07,False
DEV-000305,CUST-000205,Mobile,Android,2021-03-09,False
DEV-000306,CUST-000205,Mobile,macOS,2024-09-17,False
DEV-000307,CUST-000206,Mobile,iOS,2023-04-22,False
DEV-000308,CUST-000207,Mobile,macOS,2024-08-25,False
DEV-000309,CUST-000208,Desktop,Android,2024-03-27,False
DEV-000310,CUST-000209,Tablet,Windows,2024-08-12,False
DEV-000311,CUST-000209,Tablet,macOS,2024-02-11,False
DEV-000312,CUST-000210,Desktop,Windows,2024-10-18,False
DEV-000313,CUST-000210,Mobile,macOS,2022-06-23,False
DEV-000314,CUST-000211,Desktop,iOS,2024-01-09,False
DEV-000315,CUST-000211,Mobile,Windows,2024-03-29,False
DEV-000316,CUST-000212,Tablet,macOS,2023-04-25,False
DEV-000317,CUST-000213,Mobile,Windows,2021-07-14,False
DEV-000318,CUST-000214,Mobile,Android,2023-04-23,False
DEV-000319,CUST-000215,Mobile,Windows,2024-05-17,False
DEV-000320,CUST-000215,Mobile,iOS,2024-12-23,False
DEV-000321,CUST-000216,Desktop,Android,2021-05-21,False
DEV-000322,CUST-000216,Mobile,macOS,2022-07-05,False
DEV-000323,CUST-000217,Mobile,Android,2024-03-14,False
DEV-000324,CUST-000217,Mobile,macOS,2024-05-07,False
DEV-000325,CUST-000218,Mobile,Windows,2024-11-28,False
DEV-000326,CUST-000219,Mobile,Android,2022-10-09,False
DEV-000327,CUST-000220,Desktop,Windows,2023-03-30,False
DEV-000328,CUST-000221,Mobile,iOS,2022-12-30,False
DEV-000329,CUST-000222,Mobile,Windows,2024-12-12,False
DEV-000330,CUST-000223,Mobile,Windows,2024-12-13,False
DEV-000331,CUST-000223,Desktop,iOS,2024-11-07,False
DEV-000332,CUST-000224,Mobile,macOS,2024-10-29,False
DEV-000333,CUST-000225,Tablet,Android,2023-07-11,False
DEV-000334,CUST-000225,Mobile,iOS,2024-09-25,False
DEV-000335,CUST-000226,Tablet,iOS,2019-08-14,False
DEV-000336,CUST-000226,Mobile,macOS,2021-11-18,False
DEV-000337,CUST-000227,Mobile,macOS,2024-08-04,False
DEV-000338,CUST-000228,Mobile,iOS,2023-11-30,False
DEV-000339,CUST-000229,Desktop,Windows,2023-03-02,False
DEV-000340,CUST-000229,Mobile,Windows,2023-02-10,False
DEV-000341,CUST-000230,Mobile,iOS,2021-11-04,False
DEV-000342,CUST-000230,Mobile,macOS,2023-08-22,False
DEV-000343,CUST-000231,Desktop,Android,2023-09-06,False
DEV-000344,CUST-000232,Desktop,Android,2022-05-30,False
DEV-000345,CUST-000232,Mobile,Windows,2023-08-22,False
DEV-000346,CUST-000233,Mobile,Android,2022-07-27,False
DEV-000347,CUST-000233,Mobile,macOS,2023-12-27,False
DEV-000348,CUST-000234,Mobile,Windows,2022-12-13,False
DEV-000349,CUST-000235,Mobile,macOS,2022-02-15,False
DEV-000350,CUST-000236,Mobile,macOS,2024-12-12,False
DEV-000351,CUST-000236,Mobile,Windows,2024-05-02,False
DEV-000352,CUST-000237,Tablet,Windows,2022-02-18,False
DEV-000353,CUST-000238,Mobile,iOS,2024-06-15,False
DEV-000354,CUST-000238,Mobile,macOS,2024-03-19,False
DEV-000355,CUST-000239,Mobile,Windows,2024-09-28,False
DEV-000356,CUST-000240,Mobile,Windows,2022-08-26,False
DEV-000357,CUST-000241,Mobile,iOS,2023-05-27,False
DEV-000358,CUST-000242,Mobile,macOS,2023-11-03,False
DEV-000359,CUST-000243,Mobile,iOS,2020-07-24,False
DEV-000360,CUST-000243,Mobile,Android,2020-01-31,True
DEV-000361,CUST-000244,Mobile,Android,2023-03-21,False
DEV-000362,CUST-000245,Mobile,macOS,2023-08-30,False
DEV-000363,CUST-000245,Mobile,iOS,2024-03-15,False
DEV-000364,CUST-000246,Mobile,Windows,2024-01-04,False
DEV-000365,CUST-000246,Desktop,macOS,2022-08-22,False
DEV-000366,CUST-000247,Desktop,Android,2022-06-12,False
DEV-000367,CUST-000247,Desktop,Android,2020-10-17,False
DEV-000368,CUST-000248,Desktop,iOS,2022-01-29,False
DEV-000369,CUST-000248,Mobile,Windows,2023-12-10,False
DEV-000370,CUST-000249,Mobile,Windows,2020-12-09,False
DEV-000371,CUST-000249,Mobile,iOS,2021-07-25,True
DEV-000372,CUST-000250,Desktop,macOS,2021-11-28,False
DEV-000373,CUST-000251,Desktop,Android,2019-03-06,False
DEV-000374,CUST-000251,Tablet,Android,2019-01-26,False
DEV-000375,CUST-000252,Desktop,Android,2023-03-13,False
DEV-000376,CUST-000252,Tablet,Android,2024-04-11,False
DEV-000377,CUST-000253,Desktop,Windows,2019-04-17,False
DEV-000378,CUST-000254,Mobile,macOS,2023-05-09,False
DEV-000379,CUST-000255,Mobile,iOS,2024-09-25,False
DEV-000380,CUST-000255,Desktop,Android,2024-11-14,False
DEV-000381,CUST-000256,Mobile,iOS,2024-03-16,False
DEV-000382,CUST-000256,Mobile,Android,2024-04-25,False
DEV-000383,CUST-000257,Mobile,iOS,2023-09-03,False
DEV-000384,CUST-000257,Mobile,Windows,2024-02-22,False
DEV-000385,CUST-000258,Desktop,iOS,2023-08-01,False
DEV-000386,CUST-000258,Mobile,macOS,2021-04-30,False
DEV-000387,CUST-000259,Mobile,iOS,2024-06-20,False
DEV-000388,CUST-000260,Desktop,Windows,2023-02-02,False
DEV-000389,CUST-000261,Mobile,iOS,2023-05-19,False
DEV-000390,CUST-000261,Desktop,iOS,2023-11-10,False
DEV-000391,CUST-000262,Mobile,Windows,2023-10-27,False
DEV-000392,CUST-000262,Desktop,Android,2024-06-17,False
DEV-000393,CUST-000263,Mobile,macOS,2024-07-26,False
DEV-000394,CUST-000263,Desktop,iOS,2024-07-29,False
DEV-000395,CUST-000264,Desktop,iOS,2023-03-06,False
DEV-000396,CUST-000265,Desktop,iOS,2024-02-24,False
DEV-000397,CUST-000266,Mobile,iOS,2022-07-16,False
DEV-000398,CUST-000266,Mobile,iOS,2024-05-02,True
DEV-000399,CUST-000267,Desktop,Android,2023-09-21,True
DEV-000400,CUST-000268,Desktop,iOS,2024-08-15,False
DEV-000401,CUST-000268,Mobile,iOS,2024-01-18,False
DEV-000402,CUST-000269,Mobile,Windows,2021-07-08,False
DEV-000403,CUST-000269,Desktop,Android,2022-11-24,False
DEV-000404,CUST-000270,Desktop,Android,2022-01-31,False
DEV-000405,CUST-000271,Mobile,Windows,2024-06-27,True
DEV-000406,CUST-000271,Tablet,Windows,2024-10-21,False
DEV-000407,CUST-000272,Mobile,iOS,2022-05-05,False
DEV-000408,CUST-000273,Mobile,iOS,2023-03-29,False
DEV-000409,CUST-000273,Mobile,Windows,2020-03-13,False
DEV-000410,CUST-000274,Mobile,macOS,2023-12-29,False
DEV-000411,CUST-000275,Mobile,Android,2024-12-25,False
DEV-000412,CUST-000275,Mobile,Android,2023-09-02,False
DEV-000413,CUST-000276,Mobile,Windows,2021-11-10,False
DEV-000414,CUST-000277,Mobile,Android,2023-03-31,False
DEV-000415,CUST-000277,Desktop,Windows,2024-03-11,False
DEV-000416,CUST-000278,Mobile,macOS,2021-06-06,False
DEV-000417,CUST-000278,Mobile,macOS,2021-07-12,False
DEV-000418,CUST-000279,Mobile,Windows,2021-07-26,False
DEV-000419,CUST-000280,Mobile,iOS,2023-04-18,False
DEV-000420,CUST-000280,Mobile,iOS,2020-04-16,False
DEV-000421,CUST-000281,Mobile,Windows,2024-07-12,False
DEV-000422,CUST-000281,Mobile,Windows,2024-08-04,False
DEV-000423,CUST-000282,Mobile,iOS,2020-07-31,False
DEV-000424,CUST-000282,Desktop,macOS,2024-02-17,False
DEV-000425,CUST-000283,Mobile,Windows,2024-02-28,False
DEV-000426,CUST-000283,Mobile,macOS,2024-10-22,False
DEV-000427,CUST-000284,Mobile,Android,2022-07-04,False
DEV-000428,CUST-000284,Desktop,Windows,2023-01-22,False
DEV-000429,CUST-000285,Mobile,Windows,2021-09-29,False
DEV-000430,CUST-000286,Mobile,Android,2022-12-01,False
DEV-000431,CUST-000286,Mobile,Windows,2024-03-19,False
DEV-000432,CUST-000287,Desktop,Android,2021-11-20,False
DEV-000433,CUST-000287,Mobile,macOS,2022-04-26,False
DEV-000434,CUST-000288,Desktop,Windows,2022-02-28,False
DEV-000435,CUST-000289,Desktop,Windows,2021-12-27,False
DEV-000436,CUST-000290,Mobile,iOS,2024-06-19,False
DEV-000437,CUST-000291,Mobile,Windows,2020-08-19,False
DEV-000438,CUST-000291,Mobile,Windows,2024-09-12,False
