transaction_id,account_id,customer_id,timestamp,transaction_type,channel,amount,currency,counterparty_account_id,counterparty_name,counterparty_country,merchant_id,device_id,location_id,balance_after,flag_label,aml_scenario_tag
TXN-006032,ACC-000799,CUST-000337,2023-01-02 08:56:46.000000,Credit,ATM,160561.29,INR,,,,,,LOC-000012,2874299.04,Normal,
TXN-001502,ACC-000192,CUST-000083,2023-01-02 09:32:06.000000,POS,Branch,8916.55,INR,,,,MER-000053,DEV-000126,LOC-000003,177005.34,Normal,
TXN-002117,ACC-000277,CUST-000117,2023-01-02 09:39:11.000000,Transfer,POS,4459.02,GBP,,,,,,LOC-000015,21208.52,Normal,
TXN-006746,ACC-000877,CUST-000377,2023-01-02 12:32:51.000000,Credit,POS,31110.56,AED,,,,,,LOC-000021,688000.33,Normal,
TXN-002756,ACC-000362,CUST-000153,2023-01-02 15:02:29.000000,Transfer,Branch,147504.62,INR,,,,,,LOC-000021,734586.0,Normal,
TXN-000409,ACC-000046,CUST-000023,2023-01-02 16:52:27.000000,Debit,POS,11801.24,INR,,,,,,LOC-000003,77842.04,Normal,
TXN-006157,ACC-000813,CUST-000344,2023-01-02 17:18:36.000000,Transfer,ATM,13413.81,AED,,,,,,LOC-000024,29732.46,Normal,
TXN-007088,ACC-000923,CUST-000397,2023-01-02 20:47:23.000000,Transfer,Branch,2699.85,INR,,,,,,LOC-000017,236.18,Normal,
TXN-007649,ACC-001003,CUST-000429,2023-01-02 21:15:52.000000,POS,POS,107476.29,INR,,,,MER-000123,DEV-000646,LOC-000007,2297459.6,Normal,
TXN-000997,ACC-000119,CUST-000053,2023-01-02 23:11:25.000000,Credit,Online,10730.44,INR,,,,,,LOC-000008,49961.9,Normal,
TXN-002843,ACC-000372,CUST-000157,2023-01-02 23:36:06.000000,POS,Branch,8563.81,INR,,,,MER-000012,DEV-000233,LOC-000023,47400.51,Normal,
TXN-006432,ACC-000840,CUST-000358,2023-01-03 02:48:38.000000,ATM,Online,18313.36,INR,,,,,,LOC-000006,16954.98,Normal,
TXN-007589,ACC-000989,CUST-000426,2023-01-03 03:54:52.000000,POS,Branch,1024.33,INR,,,,MER-000061,DEV-000641,LOC-000025,5337.51,Normal,
TXN-003841,ACC-000503,CUST-000211,2023-01-03 04:33:13.000000,Debit,ATM,8027.79,EUR,,,,,,LOC-000011,34170.76,Normal,
TXN-008115,ACC-001073,CUST-000455,2023-01-03 09:19:24.000000,Credit,Online,7762.69,INR,,,,,,LOC-000030,43329.67,Normal,
TXN-000340,ACC-000037,CUST-000019,2023-01-03 14:35:19.000000,POS,Branch,3320.26,AED,,,,MER-000123,DEV-000029,LOC-000014,3268.39,Normal,
TXN-007528,ACC-000983,CUST-000422,2023-01-03 21:48:44.000000,Transfer,Branch,5598.21,INR,,,,,,LOC-000013,16577.74,Normal,
TXN-000532,ACC-000059,CUST-000029,2023-01-03 22:31:59.000000,Debit,POS,5042.05,INR,,,,,,LOC-000021,33372.75,Normal,
TXN-001941,ACC-000246,CUST-000106,2023-01-03 23:59:52.000000,POS,POS,112338.93,INR,,,,MER-000027,DEV-000160,LOC-000021,441009.9,Normal,
TXN-008295,ACC-001097,CUST-000465,2023-01-04 02:02:24.000000,POS,ATM,2040.6,INR,,,,MER-000025,DEV-000702,LOC-000012,3534.52,Normal,
TXN-001878,ACC-000236,CUST-000103,2023-01-04 05:23:57.000000,Credit,POS,10742.2,EUR,,,,,,LOC-000019,91054.01,Normal,
TXN-007161,ACC-000930,CUST-000400,2023-01-04 05:33:13.000000,Debit,Branch,7366.72,USD,,,,,,LOC-000004,32995.5,Normal,
TXN-007520,ACC-000983,CUST-000422,2023-01-04 09:03:46.000000,Credit,POS,13259.47,INR,,,,,,LOC-000021,29837.21,Normal,
TXN-004443,ACC-000582,CUST-000247,2023-01-04 12:23:52.000000,Credit,Online,8169.23,INR,,,,,,LOC-000024,25430.34,Normal,
TXN-002381,ACC-000310,CUST-000133,2023-01-04 13:25:28.000000,Credit,Online,8337.64,INR,,,,,,LOC-000023,46583.15,Normal,
TXN-005228,ACC-000694,CUST-000291,2023-01-04 13:59:23.000000,Debit,Branch,308578.73,EUR,,,,,,LOC-000014,1223097.84,Normal,
TXN-000371,ACC-000040,CUST-000020,2023-01-04 14:27:47.000000,Debit,Online,157319.21,GBP,,,,,,LOC-000005,924728.36,Normal,
TXN-001622,ACC-000207,CUST-000090,2023-01-04 15:12:30.000000,Credit,Branch,20034.39,INR,,,,,,LOC-000014,58464.4,Normal,
TXN-006166,ACC-000813,CUST-000344,2023-01-04 20:10:25.000000,Credit,ATM,7333.79,AED,,,,,,LOC-000008,37066.25,Normal,
TXN-000494,ACC-000057,CUST-000027,2023-01-04 22:27:51.000000,Credit,Online,3093.74,AED,,,,,,LOC-000006,74536.49,Normal,
TXN-006951,ACC-000908,CUST-000390,2023-01-04 22:29:34.000000,POS,Online,4794.26,AED,,,,MER-000122,DEV-000587,LOC-000019,20040.33,Normal,
TXN-000093,ACC-000012,CUST-000005,2023-01-05 02:36:04.000000,POS,POS,8279.15,USD,,,,MER-000078,DEV-000006,LOC-000019,33739.01,Normal,
TXN-003393,ACC-000443,CUST-000187,2023-01-05 02:42:33.000000,POS,ATM,79361.64,INR,,,,MER-000117,DEV-000277,LOC-000030,422957.16,Normal,
TXN-005921,ACC-000786,CUST-000331,2023-01-05 04:05:50.000000,Transfer,ATM,13592.03,INR,,,,,,LOC-000013,87874.67,Normal,
TXN-006728,ACC-000875,CUST-000376,2023-01-05 04:12:15.000000,Debit,Online,34481.98,INR,,,,,,LOC-000006,838881.05,Normal,
TXN-000329,ACC-000035,CUST-000018,2023-01-05 04:21:32.000000,Debit,Branch,18049.88,INR,,,,,,LOC-000008,36213.59,Normal,
TXN-006779,ACC-000882,CUST-000379,2023-01-05 05:16:52.000000,POS,POS,69079.74,INR,,,,MER-000064,DEV-000573,LOC-000024,209341.94,Normal,
TXN-004012,ACC-000521,CUST-000222,2023-01-05 06:31:02.000000,Transfer,Branch,9017.77,INR,,,,,,LOC-000005,14262.91,Normal,
TXN-004320,ACC-000566,CUST-000240,2023-01-05 07:16:25.000000,Debit,POS,10424.86,EUR,,,,,,LOC-000024,20259.05,Normal,
TXN-001253,ACC-000159,CUST-000068,2023-01-05 09:00:13.000000,Debit,POS,5461.47,AED,,,,,,LOC-000015,29872.69,Normal,
TXN-000089,ACC-000012,CUST-000005,2023-01-05 09:01:52.000000,Credit,POS,6442.04,USD,,,,,,LOC-000025,40181.05,Normal,
TXN-003901,ACC-000511,CUST-000216,2023-01-05 14:25:38.000000,Transfer,POS,3570.0,INR,,,,,,LOC-000022,88617.31,Normal,
TXN-003295,ACC-000434,CUST-000182,2023-01-05 15:38:24.000000,POS,ATM,1869.13,EUR,,,,MER-000079,DEV-000270,LOC-000004,41388.74,Normal,
TXN-008846,ACC-001175,CUST-000495,2023-01-05 15:46:11.000000,Debit,POS,5209.08,INR,,,,,,LOC-000005,239798.87,Normal,
TXN-003751,ACC-000493,CUST-000207,2023-01-05 17:14:12.000000,POS,ATM,15530.08,INR,,,,MER-000059,DEV-000308,LOC-000030,132418.87,Normal,
TXN-002559,ACC-000338,CUST-000143,2023-01-05 18:47:39.000000,POS,ATM,177886.88,INR,,,,MER-000059,DEV-000211,LOC-000005,425820.9,Normal,
TXN-006028,ACC-000800,CUST-000337,2023-01-05 22:25:48.000000,POS,POS,193947.06,INR,,,,MER-000106,DEV-000510,LOC-000021,2088281.19,Normal,
TXN-004775,ACC-000618,CUST-000265,2023-01-06 00:26:19.000000,Credit,POS,4950.36,AED,,,,,,LOC-000005,63191.18,Normal,
TXN-005255,ACC-000699,CUST-000292,2023-01-06 06:29:05.000000,Debit,Online,7468.0,USD,,,,,,LOC-000024,9871.47,Normal,
TXN-001785,ACC-000227,CUST-000098,2023-01-06 13:16:33.000000,POS,POS,5364.69,USD,,,,MER-000080,DEV-000148,LOC-000018,33863.13,Normal,
TXN-001174,ACC-000151,CUST-000063,2023-01-06 14:34:10.000000,Debit,ATM,7736.09,USD,,,,,,LOC-000024,62125.04,Normal,
TXN-001475,ACC-000187,CUST-000081,2023-01-06 15:27:55.000000,POS,Online,4739.16,INR,,,,MER-000109,DEV-000124,LOC-000023,24778.12,Normal,
TXN-000126,ACC-000015,CUST-000007,2023-01-06 20:50:03.000000,Debit,ATM,21098.3,INR,,,,,,LOC-000026,27320.58,Normal,
TXN-007714,ACC-001017,CUST-000433,2023-01-06 23:41:04.000000,Transfer,POS,15859.96,INR,,,,,,LOC-000029,17712.26,Normal,
TXN-002903,ACC-000384,CUST-000161,2023-01-07 04:31:59.000000,Transfer,Online,21400.17,INR,,,,,,LOC-000012,25139.52,Normal,
TXN-003035,ACC-000401,CUST-000167,2023-01-07 04:35:47.000000,Credit,ATM,97533.43,INR,,,,,,LOC-000019,2766722.5,Normal,
TXN-006217,ACC-000817,CUST-000347,2023-01-07 04:52:05.000000,Credit,Branch,6264.84,INR,,,,,,LOC-000020,119269.3,Normal,
TXN-003686,ACC-000485,CUST-000204,2023-01-07 05:32:22.000000,ATM,Online,2193.31,USD,,,,,,LOC-000022,70301.03,Normal,
TXN-000400,ACC-000045,CUST-000022,2023-01-07 08:20:20.000000,Credit,Online,4977.04,INR,,,,,,LOC-000007,21710.73,Normal,
TXN-005410,ACC-000717,CUST-000301,2023-01-07 10:57:10.000000,POS,Online,830.2,INR,,,,MER-000099,DEV-000453,LOC-000020,5461.0,Normal,
TXN-000275,ACC-000027,CUST-000015,2023-01-07 15:26:14.000000,Transfer,Branch,1745.85,INR,,,,,,LOC-000015,6163.2,Normal,
TXN-003291,ACC-000431,CUST-000180,2023-01-07 16:47:28.000000,POS,ATM,11588.07,INR,,,,MER-000123,DEV-000266,LOC-000018,138095.18,Normal,
TXN-001314,ACC-000169,CUST-000072,2023-01-07 16:54:19.000000,POS,ATM,4748.42,INR,,,,MER-000004,DEV-000110,LOC-000018,34400.99,Normal,
TXN-000382,ACC-000044,CUST-000021,2023-01-07 19:31:50.000000,Debit,Online,13375.0,INR,,,,,,LOC-000001,30188.01,Normal,
TXN-005583,ACC-000743,CUST-000312,2023-01-07 19:43:19.000000,Debit,ATM,11655.69,USD,,,,,,LOC-000007,41526.82,Normal,
TXN-005005,ACC-000657,CUST-000278,2023-01-07 21:51:53.000000,ATM,Branch,5418.75,INR,,,,,,LOC-000003,16487.17,Normal,
TXN-003663,ACC-000484,CUST-000203,2023-01-08 00:48:28.000000,Credit,ATM,3874.66,INR,,,,,,LOC-000019,135664.41,Normal,
TXN-004147,ACC-000539,CUST-000229,2023-01-08 01:40:32.000000,Credit,Online,205539.95,INR,,,,,,LOC-000006,1381368.17,Normal,
TXN-007729,ACC-001019,CUST-000434,2023-01-08 08:34:12.000000,Debit,Branch,15074.58,INR,,,,,,LOC-000002,10447.49,Normal,
TXN-007464,ACC-000975,CUST-000419,2023-01-08 09:40:43.000000,Transfer,Branch,6839.2,INR,,,,,,LOC-000001,23128.73,Normal,
TXN-005657,ACC-000752,CUST-000316,2023-01-08 10:06:55.000000,POS,POS,7856.72,INR,,,,MER-000077,DEV-000476,LOC-000027,34004.15,Normal,
TXN-002734,ACC-000359,CUST-000152,2023-01-08 12:15:56.000000,POS,Online,15491.67,EUR,,,,MER-000002,DEV-000225,LOC-000003,14358.81,Normal,
TXN-005237,ACC-000693,CUST-000291,2023-01-08 13:06:26.000000,POS,POS,325897.06,INR,,,,MER-000049,DEV-000437,LOC-000018,2715869.33,Normal,
TXN-000102,ACC-000012,CUST-000005,2023-01-08 13:23:40.000000,POS,Branch,21400.4,USD,,,,MER-000019,DEV-000006,LOC-000007,18780.65,Normal,
TXN-006513,ACC-000853,CUST-000364,2023-01-08 14:28:57.000000,POS,Branch,7177.55,INR,,,,MER-000056,DEV-000549,LOC-000015,22569.41,Normal,
TXN-002590,ACC-000342,CUST-000144,2023-01-08 20:47:50.000000,ATM,POS,4260.47,GBP,,,,,,LOC-000009,22876.15,Normal,
TXN-001942,ACC-000247,CUST-000106,2023-01-08 22:51:37.000000,POS,ATM,37250.12,GBP,,,,MER-000092,DEV-000160,LOC-000008,960467.75,Normal,
TXN-001812,ACC-000232,CUST-000100,2023-01-09 00:18:25.000000,POS,Online,14542.01,INR,,,,MER-000072,DEV-000152,LOC-000015,27652.41,Normal,
TXN-007255,ACC-000941,CUST-000407,2023-01-09 00:29:35.000000,Debit,Branch,12293.19,INR,,,,,,LOC-000023,59162.18,Normal,
TXN-004731,ACC-000615,CUST-000263,2023-01-09 01:08:13.000000,POS,POS,42391.4,INR,,,,MER-000098,DEV-000394,LOC-000025,125887.87,Normal,
TXN-003885,ACC-000509,CUST-000215,2023-01-09 06:51:41.000000,Transfer,POS,5373.3,INR,,,,,,LOC-000022,37734.35,Normal,
TXN-008739,ACC-001162,CUST-000490,2023-01-09 08:08:02.000000,ATM,POS,129453.59,GBP,,,,,,LOC-000012,500063.53,Normal,
TXN-007904,ACC-001038,CUST-000443,2023-01-09 08:56:59.000000,Credit,ATM,6267.43,INR,,,,,,LOC-000012,41411.09,Normal,
TXN-002860,ACC-000374,CUST-000158,2023-01-09 09:31:23.000000,ATM,Branch,4557.3,INR,,,,,,LOC-000020,41897.06,Normal,
TXN-005449,ACC-000723,CUST-000303,2023-01-09 12:09:04.000000,Debit,Branch,11403.07,INR,,,,,,LOC-000004,51654.76,Normal,
TXN-000238,ACC-000024,CUST-000013,2023-01-09 13:47:58.000000,Transfer,Online,9137.94,INR,,,,,,LOC-000029,31191.16,Normal,
TXN-004526,ACC-000592,CUST-000252,2023-01-09 16:53:31.000000,Transfer,POS,10153.68,USD,,,,,,LOC-000018,28607.05,Normal,
TXN-008289,ACC-001097,CUST-000465,2023-01-09 18:09:58.000000,Debit,POS,867.91,INR,,,,,,LOC-000024,2666.61,Normal,
TXN-003616,ACC-000476,CUST-000200,2023-01-10 02:52:36.000000,Debit,Online,11473.71,INR,,,,,,LOC-000011,9998.46,Normal,
TXN-006219,ACC-000821,CUST-000348,2023-01-10 06:45:51.000000,POS,ATM,4291.9,USD,,,,MER-000057,DEV-000527,LOC-000030,55401.63,Normal,
TXN-005979,ACC-000791,CUST-000334,2023-01-10 07:44:39.000000,POS,Branch,3539.94,INR,,,,MER-000014,DEV-000506,LOC-000023,267888.44,Normal,
TXN-001300,ACC-000165,CUST-000071,2023-01-10 15:06:07.000000,Debit,Online,16528.84,INR,,,,,,LOC-000008,15146.4,Normal,
TXN-008636,ACC-001148,CUST-000485,2023-01-10 17:13:59.000000,Credit,ATM,208603.25,INR,,,,,,LOC-000004,4770310.66,Normal,
TXN-006273,ACC-000824,CUST-000350,2023-01-10 17:48:43.000000,Transfer,Online,3346.38,INR,,,,,,LOC-000028,477.99,Normal,
TXN-008488,ACC-001127,CUST-000477,2023-01-10 19:08:51.000000,Debit,POS,6890.86,INR,,,,,,LOC-000022,20000.24,Normal,
TXN-003019,ACC-000400,CUST-000167,2023-01-10 21:30:34.000000,Credit,Branch,142723.57,USD,,,,,,LOC-000003,2126508.16,Normal,
TXN-000512,ACC-000058,CUST-000028,2023-01-11 02:26:42.000000,POS,Online,6478.42,INR,,,,MER-000036,DEV-000044,LOC-000020,35294.7,Normal,
TXN-001642,ACC-000209,CUST-000091,2023-01-11 04:07:50.000000,Credit,Online,1354.18,INR,,,,,,LOC-000010,5486.9,Normal,
TXN-000162,ACC-000018,CUST-000009,2023-01-11 04:35:41.000000,Credit,Online,3584.36,EUR,,,,,,LOC-000022,81195.53,Normal,
TXN-001667,ACC-000211,CUST-000092,2023-01-11 04:35:59.000000,Debit,POS,6542.06,INR,,,,,,LOC-000019,41839.03,Normal,
TXN-002518,ACC-000333,CUST-000141,2023-01-11 06:37:55.000000,Transfer,ATM,65858.22,INR,,,,,,LOC-000030,453954.43,Normal,
TXN-001517,ACC-000195,CUST-000084,2023-01-11 07:21:35.000000,Credit,Branch,34424.05,EUR,,,,,,LOC-000010,294340.92,Normal,
TXN-009124,ACC-000263,CUST-000112,2023-01-11 12:05:13.000000,Transfer,Online,40426.74,INR,ACC-001187,,,,,,32645.89,Suspicious,Circular
TXN-002070,ACC-000271,CUST-000114,2023-01-11 12:35:26.000000,Transfer,Online,3861.03,INR,,,,,,LOC-000020,22705.05,Normal,
TXN-006226,ACC-000821,CUST-000348,2023-01-11 12:48:59.000000,Debit,Online,8903.74,USD,,,,,,LOC-000019,46497.89,Normal,
TXN-009125,ACC-001187,CUST-000498,2023-01-11 13:05:13.000000,Transfer,Online,234909.31,EUR,ACC-000125,,,,,,117629.65,Suspicious,Circular
TXN-000232,ACC-000024,CUST-000013,2023-01-11 15:23:33.000000,Credit,Branch,12160.74,INR,,,,,,LOC-000020,43351.9,Normal,
TXN-007858,ACC-001032,CUST-000440,2023-01-11 15:37:51.000000,Debit,POS,1155.11,AED,,,,,,LOC-000008,3550.34,Normal,
TXN-006726,ACC-000875,CUST-000376,2023-01-11 16:48:20.000000,Transfer,POS,144733.73,INR,,,,,,LOC-000017,694147.32,Normal,
TXN-004328,ACC-000570,CUST-000241,2023-01-11 18:24:24.000000,Debit,ATM,5247.18,GBP,,,,,,LOC-000004,39177.32,Normal,
TXN-003634,ACC-000480,CUST-000201,2023-01-11 19:07:28.000000,ATM,ATM,117879.98,USD,,,,,,LOC-000016,892407.58,Normal,
TXN-001128,ACC-000145,CUST-000061,2023-01-11 21:33:32.000000,Debit,Online,10186.99,INR,,,,,,LOC-000016,12635.74,Normal,
TXN-000444,ACC-000052,CUST-000025,2023-01-11 22:28:00.000000,POS,ATM,10084.81,GBP,,,,MER-000008,DEV-000040,LOC-000009,26921.88,Normal,
TXN-002718,ACC-000357,CUST-000151,2023-01-12 00:06:00.000000,POS,Online,6103.96,INR,,,,MER-000084,DEV-000224,LOC-000012,147618.76,Normal,
TXN-002526,ACC-000333,CUST-000141,2023-01-12 03:08:23.000000,Debit,Online,42789.78,INR,,,,,,LOC-000004,411164.65,Normal,
TXN-009126,ACC-000125,CUST-000055,2023-01-12 06:05:13.000000,Transfer,Online,234909.31,INR,ACC-000263,,,,,,1371212.02,Suspicious,Circular
TXN-001620,ACC-000208,CUST-000090,2023-01-12 11:20:36.000000,POS,Online,10230.65,INR,,,,MER-000106,DEV-000136,LOC-000020,106190.21,Normal,
TXN-006353,ACC-000831,CUST-000354,2023-01-12 17:45:31.000000,Credit,POS,13122.42,INR,,,,,,LOC-000021,61974.95,Normal,
TXN-009150,ACC-001179,CUST-000496,2023-01-12 19:55:58.000000,Credit,Online,368148.47,AED,,,,,,,1129058.78,Suspicious,Mule Accounts
TXN-000234,ACC-000024,CUST-000013,2023-01-12 20:22:35.000000,POS,Branch,7873.21,INR,,,,MER-000032,DEV-000018,LOC-000007,35478.69,Normal,
TXN-006852,ACC-000898,CUST-000384,2023-01-12 20:30:58.000000,Debit,Online,7570.3,INR,,,,,,LOC-000010,30357.32,Normal,
TXN-008087,ACC-001067,CUST-000453,2023-01-12 23:27:43.000000,Debit,POS,4700.88,INR,,,,,,LOC-000006,38721.36,Normal,
TXN-007912,ACC-001040,CUST-000443,2023-01-13 00:30:19.000000,Transfer,ATM,7317.58,INR,,,,,,LOC-000024,25599.35,Normal,
TXN-003024,ACC-000398,CUST-000167,2023-01-13 02:49:25.000000,Debit,ATM,55395.42,USD,,,,,,LOC-000008,1765188.46,Normal,
TXN-009151,ACC-001179,CUST-000496,2023-01-13 04:43:41.875122,Transfer,Online,357275.14,AED,ACC-000038,,,,,,771783.64,Suspicious,Mule Accounts
TXN-006598,ACC-000862,CUST-000368,2023-01-13 05:50:50.000000,Credit,Online,2825.44,USD,,,,,,LOC-000018,27805.27,Normal,
TXN-007965,ACC-001046,CUST-000446,2023-01-13 07:52:52.000000,Debit,Online,954.93,USD,,,,,,LOC-000009,3469.38,Normal,
TXN-003038,ACC-000400,CUST-000167,2023-01-13 10:28:26.000000,ATM,Online,145283.63,USD,,,,,,LOC-000022,1981224.53,Normal,
TXN-006250,ACC-000823,CUST-000349,2023-01-13 14:50:25.000000,Credit,Branch,6351.03,USD,,,,,,LOC-000006,133358.11,Normal,
TXN-005196,ACC-000689,CUST-000289,2023-01-13 17:41:10.000000,Credit,ATM,75627.18,INR,,,,,,LOC-000030,345973.42,Normal,
TXN-005984,ACC-000793,CUST-000335,2023-01-13 18:33:37.000000,Credit,Online,6103.36,EUR,,,,,,LOC-000014,97584.53,Normal,
TXN-007360,ACC-000954,CUST-000412,2023-01-13 18:59:37.000000,Transfer,Branch,1060.61,USD,,,,,,LOC-000011,1758.82,Normal,
TXN-009381,ACC-000821,CUST-000348,2023-01-13 21:11:58.000000,Debit,Branch,27936.04,USD,,,,MER-000055,,,18561.85,Suspicious,TBML
TXN-007537,ACC-000985,CUST-000423,2023-01-13 21:24:59.000000,POS,ATM,2972.66,INR,,,,MER-000117,DEV-000638,LOC-000020,61919.04,Normal,
TXN-005325,ACC-000710,CUST-000297,2023-01-13 22:48:49.000000,ATM,Branch,1102.27,INR,,,,,,LOC-000030,269064.07,Normal,
TXN-007688,ACC-001010,CUST-000431,2023-01-14 00:12:16.000000,POS,ATM,36950.38,EUR,,,,MER-000042,DEV-000650,LOC-000028,461684.84,Normal,
TXN-002765,ACC-000366,CUST-000154,2023-01-14 01:41:13.000000,POS,Branch,55286.89,INR,,,,MER-000126,DEV-000229,LOC-000024,703699.53,Normal,
TXN-002692,ACC-000354,CUST-000150,2023-01-14 04:44:35.000000,Debit,Branch,17059.54,EUR,,,,,,LOC-000016,16779.6,Normal,
TXN-005286,ACC-000702,CUST-000293,2023-01-14 06:23:59.000000,POS,ATM,8636.15,INR,,,,MER-000108,DEV-000441,LOC-000023,38967.52,Normal,
TXN-000021,ACC-000006,CUST-000002,2023-01-14 12:42:42.000000,POS,Online,7187.86,INR,,,,MER-000083,DEV-000002,LOC-000014,16085.27,Normal,
TXN-008580,ACC-001142,CUST-000482,2023-01-14 13:52:29.000000,ATM,Online,5117.75,INR,,,,,,LOC-000014,44130.39,Normal,
TXN-000853,ACC-000103,CUST-000046,2023-01-14 15:07:53.000000,POS,POS,14883.12,INR,,,,MER-000061,DEV-000070,LOC-000006,23968.56,Normal,
TXN-007732,ACC-001019,CUST-000434,2023-01-14 17:42:00.000000,Credit,Online,7903.72,INR,,,,,,LOC-000001,18351.21,Normal,
TXN-005823,ACC-000770,CUST-000325,2023-01-14 19:15:25.000000,POS,Branch,15753.13,EUR,,,,MER-000099,DEV-000490,LOC-000016,12492.68,Normal,
TXN-002575,ACC-000341,CUST-000144,2023-01-14 19:48:40.000000,Debit,Online,11254.98,INR,,,,,,LOC-000016,28438.95,Normal,
TXN-005304,ACC-000705,CUST-000295,2023-01-14 21:33:13.000000,Credit,Branch,5957.26,USD,,,,,,LOC-000013,40982.32,Normal,
TXN-007406,ACC-000964,CUST-000415,2023-01-14 23:38:20.000000,Debit,Branch,10821.57,INR,,,,,,LOC-000021,33329.81,Normal,
TXN-000047,ACC-000007,CUST-000003,2023-01-15 03:04:39.000000,Transfer,Online,11685.14,GBP,,,,,,LOC-000030,102854.19,Normal,
TXN-006515,ACC-000853,CUST-000364,2023-01-15 04:05:39.000000,Debit,POS,5516.59,INR,,,,,,LOC-000009,17052.82,Normal,
TXN-008703,ACC-001161,CUST-000489,2023-01-15 05:19:48.000000,ATM,Branch,51602.6,INR,,,,,,LOC-000023,191243.22,Normal,
TXN-003354,ACC-000438,CUST-000184,2023-01-15 08:53:50.000000,ATM,POS,27227.65,GBP,,,,,,LOC-000012,546850.88,Normal,
TXN-003570,ACC-000465,CUST-000197,2023-01-15 12:03:51.000000,POS,POS,70339.27,INR,,,,MER-000087,DEV-000293,LOC-000011,1077374.01,Normal,
TXN-005664,ACC-000752,CUST-000316,2023-01-15 13:54:29.000000,Credit,POS,11821.57,INR,,,,,,LOC-000029,45825.72,Normal,
TXN-003674,ACC-000484,CUST-000203,2023-01-15 16:46:50.000000,Debit,ATM,7557.41,INR,,,,,,LOC-000012,128107.0,Normal,
TXN-005564,ACC-000737,CUST-000310,2023-01-15 17:20:37.000000,Transfer,POS,6224.21,INR,,,,,,LOC-000021,11672.95,Normal,
TXN-003171,ACC-000416,CUST-000174,2023-01-15 18:21:48.000000,Transfer,Branch,2570.65,USD,,,,,,LOC-000030,29607.92,Normal,
TXN-007033,ACC-000918,CUST-000394,2023-01-15 18:54:49.000000,POS,Online,6340.22,INR,,,,MER-000074,DEV-000593,LOC-000005,47749.05,Normal,
TXN-003705,ACC-000489,CUST-000205,2023-01-15 22:12:42.000000,POS,POS,9301.85,INR,,,,MER-000028,DEV-000306,LOC-000005,29001.61,Normal,
