branch_id,branch_name,country_code,city,is_high_risk_branch
BR-000118,George Town Branch 118,KY,George Town,True
BR-000119,Hyderabad Branch 119,IN,Hyderabad,False
BR-000120,Berlin Branch 120,DE,Berlin,False
BR-000121,Manchester Branch 121,GB,Manchester,False
BR-000122,Delhi Branch 122,IN,Delhi,False
BR-000123,San Francisco Branch 123,US,San Francisco,False
BR-000124,Hyderabad Branch 124,IN,Hyderabad,False
BR-000125,Mumbai Branch 125,IN,Mumbai,False
BR-000126,Mumbai Branch 126,IN,Mumbai,False
BR-000127,Bengaluru Branch 127,IN,Bengaluru,False
BR-000128,Chennai Branch 128,IN,Chennai,False
BR-000129,Delhi Branch 129,IN,Delhi,False
BR-000130,Hyderabad Branch 130,IN,Hyderabad,False
BR-000131,San Francisco Branch 131,US,San Francisco,False
BR-000132,Abu Dhabi Branch 132,AE,Abu Dhabi,False
BR-000133,New York Branch 133,US,New York,False
BR-000134,Chennai Branch 134,IN,Chennai,False
BR-000135,Abu Dhabi Branch 135,AE,Abu Dhabi,False
BR-000136,Mumbai Branch 136,IN,Mumbai,False
BR-000137,Bengaluru Branch 137,IN,Bengaluru,False
BR-000138,Berlin Branch 138,DE,Berlin,False
BR-000139,Chicago Branch 139,US,Chicago,False
BR-000140,Singapore Branch 140,SG,Singapore,False
BR-000141,San Francisco Branch 141,US,San Francisco,False
BR-000142,New York Branch 142,US,New York,False
BR-000143,New York Branch 143,US,New York,False
BR-000144,San Francisco Branch 144,US,San Francisco,False
BR-000145,Delhi Branch 145,IN,Delhi,False
BR-000146,Singapore Branch 146,SG,Singapore,False
BR-000147,Delhi Branch 147,IN,Delhi,False
BR-000148,Mumbai Branch 148,IN,Mumbai,False
BR-000149,Manchester Branch 149,GB,Manchester,False
BR-000150,London Branch 150,GB,London,False
BR-000151,Bengaluru Branch 151,IN,Bengaluru,False
BR-000152,Chennai Branch 152,IN,Chennai,False
BR-000153,Delhi Branch 153,IN,Delhi,False
BR-000154,Chicago Branch 154,US,Chicago,False
BR-000155,Manchester Branch 155,GB,Manchester,False
BR-000156,Frankfurt Branch 156,DE,Frankfurt,False
BR-000157,Frankfurt Branch 157,DE,Frankfurt,False
BR-000158,New York Branch 158,US,New York,False
BR-000159,New York Branch 159,US,New York,False
BR-000160,Panama City Branch 160,PA,Panama City,True
BR-000161,Dubai Branch 161,AE,Dubai,False
BR-000162,Chennai Branch 162,IN,Chennai,False
BR-000163,Singapore Branch 163,SG,Singapore,False
BR-000164,Chennai Branch 164,IN,Chennai,False
BR-000165,Hyderabad Branch 165,IN,Hyderabad,False
BR-000166,Delhi Branch 166,IN,Delhi,False
BR-000167,Manchester Branch 167,GB,Manchester,False
BR-000168,Abu Dhabi Branch 168,AE,Abu Dhabi,False
BR-000169,Mumbai Branch 169,IN,Mumbai,False
BR-000170,Mumbai Branch 170,IN,Mumbai,False
BR-000171,Hyderabad Branch 171,IN,Hyderabad,False
BR-000172,Shanghai Branch 172,CN,Shanghai,True
BR-000173,Abu Dhabi Branch 173,AE,Abu Dhabi,False
BR-000174,Chennai Branch 174,IN,Chennai,False
BR-000175,Singapore Branch 175,SG,Singapore,False
BR-000176,Manchester Branch 176,GB,Manchester,False
BR-000177,George Town Branch 177,KY,George Town,True
BR-000178,Delhi Branch 178,IN,Delhi,False
